№,ОКТМО,Регион,Код_региона (ОКТМО),Тип_МО,Код_типа_МО,Наименование_МО,Код_наименования_МО,Тип_НП_МО,"Наименование ГО, наслега",тип НП (сокр),тип НП,Наименование НП,ОКТМО.1,Население (на 2023 год),тип населения,Геопозиция (широта),Геопозиция (долгота),Unnamed: 18,Сумма населения,1063586,Тип,в процентах,Unnamed: 23,Количество ошибок геопозиции,0,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
11,98701000146,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Владимировка,98701000146,158,2,61.8941666666667,129.519722222222,,390286,Городской округ Город Якутск,,,,Мирнинский,город Мирный,село,Березовка,98631101106.0,
12,98701000151,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ Город Якутск,0,0,город Якутск,с,село,Пригородный,98701000151,3208,2,61.9727777777778,129.688888888889,,12541,Городской округ поселок Жатай,,,,Олекминский,Кыллахский,село,Кыллах,98641430101.0,
13,98702000051,Муниципальные образования Республики Саха (Якутия),98600000,Городские округа Республики Саха (Якутии),98700000,Городской округ поселок Жатай,0,0,Жатай,п,поселок,Жатай,98702000051,12541,1,62.1658333333333,129.8375,,3896,Абыйский муниципальный район,,,,Оленекский,Жилиндинский,село,Жилинда,98642411101.0,8 значные номера
14,98601151051,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Абыйский муниципальный район,98601000,Городские поселения Абыйского муниципального района,поселок Белая Гора,п,поселок,Белая Гора,98601151051,1905,1,68.5375,146.193333333333,,39532,Алданский муниципальный район,,,,Оленекский,Оленекский,село,Оленек,98642437101.0,8 значные номера
15,98601404101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Абыйский муниципальный район,98601000,Сельские поселения Абыйского муниципального района,Абыйский наслег,с,село,Абый,98601404101,483,2,68.3936111111111,145.068888888889,,2400,Аллаиховский муниципальный район,,,,Оленекский,Шологонский,село,Эйик,98642450101.0,8 значные номера
16,98601404106,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Абыйский муниципальный район,98601000,Сельские поселения Абыйского муниципального района,Абыйский наслег,с,село,Дёску,98601404106,47,2,68.37,144.525,,17242,Амгинский муниципальный район,,,,Хангаласский,поселок Мохсоголлох,поселок,Мохсоголлох,98644157051.0,8 значные номера
17,98601409101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Абыйский муниципальный район,98601000,Сельские поселения Абыйского муниципального района,Майорский национальный наслег,с,село,Куберганя,98601409101,479,2,67.7702777777778,144.4875,,3524,Анабарский национальный (долгано-эвенкийский) муниципальный район,,,,Сунтарский,Тюбяй-Жарханский,село,Арылах,98648462101.0,2 Арылаха в Сунтарском - другой  Жарханский
18,98601417101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Абыйский муниципальный район,98601000,Сельские поселения Абыйского муниципального района,Мугурдахский наслег,с,село,Сыаганнах,98601417101,370,2,68.3708333333333,143.633055555556,,8089,Булунский муниципальный район,,,,Сунтарский,Хаданский,село,Толон,98648465106.0,2 Толона в Сунтарском - другой Толонский
19,98601422101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Абыйский муниципальный район,98601000,Сельские поселения Абыйского муниципального района,Уолбутский наслег,с,село,Кенг-Кюёль,98601422101,198,2,68.0761111111111,145.995277777778,,22084,Верхневилюйский муниципальный район,,,,Усть-Алданский,Борогонский,село,Тумул,98652415101.0,отсутствовал
20,98601433101,Муниципальные образования Республики Саха (Якутия),98600000,Муниципальные образования Республики Саха (Якутия),98000000,Абыйский муниципальный район,98601000,Сельские поселения Абыйского муниципального района,Урасалахский наслег,с,село,Сутуруоха,98601433101,414,2,68.5527777777778,146.162222222222,,3759,Верхнеколымский муниципальный район,,,,Усть-Алданский,Легейский,село,Хомустах,98652440111.0,2 Хомустаха в Усть-Алданском - другой Батагайский
