№,Гидрометеорологический пост,Наименование реки,Район,Населенный пункт,ОКТМО,Дата (дд.мм.ггг),в % от нормы,в % от нормы.1
272,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2009-12-20,70-90,200.0
273,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2009-12-20,70-90,100.0
274,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2009-12-20,70-90,70.0
275,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2009-12-20,90-110,70.0
276,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2009-12-20,70-90,70.0
277,Нижнеянск,Яна,Усть-Янский муниципальный район,Нижнеянск,98656159051,2009-12-20,90-110,100.0
278,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2009-12-20,70-90,80.0
279,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2009-12-20,70-90,80.0
280,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2009-12-20,110-130,80.0
281,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2009-12-20,70-90,80.0
282,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2009-12-20,70-90,120.0
283,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2009-12-20,>130,80.0
284,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2009-12-20,70-90,100.0
285,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2009-12-20,,70.0
286,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2009-12-20,<70,100.0
287,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2009-12-20,<70,80.0
288,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2009-12-20,<70,120.0
289,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2009-12-20,<70,80.0
290,Чернышевск,Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2009-12-20,<70,70.0
291,Якутск,Лена,Городской округ Город Якутск,Якутск,98701000001,2010-12-20,110-130,100.0
292,Покровск,Лена,Хангаласский муниципальный район,Покровск,98644101001,2010-12-20,110-130,100.0
293,Намцы,Лена,Намский муниципальный район,Намцы,98635425101,2010-12-20,110-130,70.0
294,Олекминск,Лена,Олекминский муниципальный район,Олёкминск,98641101001,2010-12-20,90-110,165.0
295,Ленск,Лена,Ленский муниципальный район,Ленск,98627101001,2010-12-20,90-110,100.0
296,Витим,Лена,Ленский муниципальный район,Витим,98627153051,2010-12-20,70-90,120.0
297,Сангар,Лена,Кобяйский муниципальный район,Сангар,98624151051,2010-12-20,110-130,100.0
298,Жиганск,Лена,Жиганский национальный эвенкийский муниципальный район,Жиганск,98622410101,2010-12-20,>130,120.0
299,Усть-Мая,Алдан,Усть-Майский муниципальный район,Усть-Мая,98654151051,2010-12-20,70-90,120.0
300,Алдан,Алдан,Алданский муниципальный район,Алдан,98603101001,2010-12-20,<70,100.0
301,Амга,Амга,Амгинский муниципальный район,Амга,98608432101,2010-12-20,70-90,100.0
302,Батагай,Яна,Верхоянский муниципальный район,Батагай,98616151051,2010-12-20,70-90,100.0
303,Верхоянск,Яна,Верхоянский муниципальный район,Верхоянск,98616103001,2010-12-20,70-90,100.0
304,Нижнеянск,Яна,Усть-Янский муниципальный район,Нижнеянск,98656159051,2010-12-20,>130,120.0
305,Усть-Нера,Индигирка,Оймяконский муниципальный район,Усть-Нера,98639151051,2010-12-20,110-130,100.0
306,Оймякон,Индигирка,Оймяконский муниципальный район,Оймякон,98639405101,2010-12-20,90-110,80.0
307,Хонуу,Индигирка,Момский муниципальный район,Хонуу,98633423101,2010-12-20,70-90,70.0
308,Белая Гора,Индигирка,Абыйский муниципальный район,Белая Гора,98601151051,2010-12-20,70-90,80.0
309,Чокурдах,Индигирка,Аллаиховский муниципальный район,Чокурдах,98606151051,2010-12-20,<70,100.0
310,Зырянка,Колыма,Верхнеколымский муниципальный район,Зырянка,98615151051,2010-12-20,110-130,80.0
311,Среднеколымск,Колыма,Среднеколымский муниципальный район,Среднеколымск,98646101001,2010-12-20,70-90,120.0
312,Черский,Колыма,Нижнеколымский муниципальный район,Черский,98637151051,2010-12-20,70-90,80.0
313,Сунтар,Вилюй,Сунтарский муниципальный район,Сунтар,98648455101,2010-12-20,90-110,80.0
314,Нюрба,Вилюй,Нюрбинский муниципальный район,Нюрба,98626101001,2010-12-20,<70,100.0
315,В.Вилюйск,Вилюй,Верхневилюйский муниципальный район,Верхневилюйск,98614412101,2010-12-20,<70,100.0
316,Вилюйск,Вилюй,Вилюйский муниципальный район,Вилюйск,98618101001,2010-12-20,90-110,100.0
317,Чернышевск,Вилюй,Мирнинский муниципальный район,Чернышевский,98631162051,2010-12-20,110-130,80.0
